2025-07-17 10:30:57 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:30:57 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:30:57 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:30:57 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:36:10 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:36:10 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:36:10 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:36:10 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:36:10 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:42:29 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:42:29 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:42:30 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:42:30 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:42:30 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:43:52 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:43:52 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:43:53 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:43:53 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:43:53 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:46:17 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:46:17 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:46:18 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:46:18 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:46:18 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:50:24 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:50:24 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:50:25 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:25 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:25 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:53:55 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:53:55 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:53:55 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:53:55 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:53:55 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:00:10 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 11:00:10 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 11:00:10 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:10 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:10 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:11:15 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 11:11:15 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 11:11:16 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:16 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:16 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:14:37 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 11:14:37 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 11:14:37 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:37 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:37 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
