2025-07-17 10:46:19 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 10:50:26 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 10:50:26 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 10:50:26 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:26 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:26 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 10:53:57 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 10:53:57 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 10:53:57 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:53:57 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:53:57 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 11:00:11 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 11:00:11 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 11:00:11 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:11 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:11 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 11:11:18 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 11:11:18 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 11:11:18 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:18 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:18 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 11:14:38 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 11:14:38 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 11:14:38 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:38 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:38 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 11:17:39 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 11:17:39 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 11:17:40 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:40 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:40 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 11:25:21 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 11:25:21 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 11:25:21 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:21 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:21 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 11:28:01 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 11:28:01 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 11:28:01 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:28:01 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:28:01 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 11:30:08 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 11:30:08 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 11:30:08 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:08 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:08 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 13:31:17 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 13:31:17 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 13:31:18 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:31:18 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:31:18 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 13:34:49 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 13:34:49 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 13:34:49 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:34:49 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:34:49 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
