2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:03:22 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:05:30 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:05:30 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:05:30 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:30 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:30 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:07:37 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:07:37 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:07:37 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:37 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:37 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:11:45 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:11:45 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:11:45 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:45 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:45 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:17:25 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:17:25 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:17:25 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:17:26 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:17:26 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:22:36 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:22:36 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:22:36 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:22:36 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:22:36 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
