2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:05:31 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:05:31 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:05:31 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:31 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:31 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:07:38 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:07:38 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:07:38 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:38 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:38 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:11:46 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:11:46 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:11:46 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:46 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:46 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:17:26 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:17:26 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:17:26 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:17:26 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:17:26 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:22:37 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:22:37 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:22:37 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:22:37 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:22:37 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:27:15 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:31:02 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:36:15 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:36:15 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:36:15 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:36:15 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:36:15 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:42:35 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:43:56 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:46:22 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:46:22 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:46:22 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:46:22 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:46:22 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
