2025-07-19 23:24:47 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 23:26:48 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 23:26:48 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 23:26:49 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:26:49 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:26:49 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 23:32:37 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 23:32:37 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 23:32:39 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:32:39 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:32:39 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 23:47:25 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 23:47:25 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 23:47:28 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:47:28 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:47:28 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 23:50:32 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 23:50:32 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 23:50:34 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:50:34 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:50:34 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
